[2026-05-17 21:08:24,643 | INFO]: Starting scan...
[2026-05-17 21:08:24,645 | DEBUG]: Verifying radius 32...
[2026-05-17 21:08:24,840 | INFO]: Reducing radius to 31
[2026-05-17 21:08:24,841 | DEBUG]: Verifying radius 31...
[2026-05-17 21:08:26,453 | INFO]: Verified radius 31. Collecting block data...
[2026-05-17 21:08:52,540 | INFO]: Scan successfully completed at radius: 31
[2026-05-17 21:08:52,540 | INFO]: Finished scanning...
[2026-05-17 21:08:52,540 | INFO]: Starting filter...
[2026-05-17 21:08:52,607 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:52,628 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:52,695 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:52,698 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:52,707 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:52,777 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:52,787 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:52,789 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:52,860 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:52,865 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:52,881 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:52,964 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:52,986 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:52,997 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,019 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,071 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,071 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,098 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,125 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,139 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,189 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,246 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,267 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,313 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,319 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,362 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,375 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,433 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,487 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,491 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,518 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,566 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,591 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,628 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,663 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,679 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,735 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,750 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,798 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,810 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,871 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,884 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,940 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,955 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,983 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:53,999 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,048 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,061 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,089 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,143 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,159 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,177 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,202 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,237 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,263 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,284 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,319 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,377 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,388 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,403 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,467 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,487 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,508 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,518 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,560 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,566 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,634 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,638 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,688 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,700 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,727 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,761 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,777 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,816 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,826 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,891 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,914 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,945 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,972 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:54,974 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,007 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,070 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,080 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,092 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,155 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,197 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,201 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,224 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,243 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,258 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,285 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,328 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,331 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,379 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,396 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,429 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,459 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,499 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,547 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,556 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,583 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,614 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,666 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,722 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,725 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,775 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:08:55,804 | DEBUG]: Successfully colleted local detection blocks
