[2026-05-17 20:04:42,937 | INFO]: Starting scan...
[2026-05-17 20:04:42,941 | DEBUG]: Verifying radius 32...
[2026-05-17 20:04:43,041 | INFO]: Reducing radius to 31
[2026-05-17 20:04:43,041 | DEBUG]: Verifying radius 31...
[2026-05-17 20:04:43,152 | INFO]: Reducing radius to 30
[2026-05-17 20:04:43,152 | DEBUG]: Verifying radius 30...
[2026-05-17 20:04:43,262 | INFO]: Reducing radius to 29
[2026-05-17 20:04:43,262 | DEBUG]: Verifying radius 29...
[2026-05-17 20:04:43,374 | INFO]: Reducing radius to 28
[2026-05-17 20:04:43,374 | DEBUG]: Verifying radius 28...
[2026-05-17 20:04:43,486 | INFO]: Reducing radius to 27
[2026-05-17 20:04:43,486 | DEBUG]: Verifying radius 27...
[2026-05-17 20:04:43,595 | INFO]: Reducing radius to 26
[2026-05-17 20:04:43,596 | DEBUG]: Verifying radius 26...
[2026-05-17 20:04:43,736 | INFO]: Reducing radius to 25
[2026-05-17 20:04:43,736 | DEBUG]: Verifying radius 25...
[2026-05-17 20:04:43,877 | INFO]: Reducing radius to 24
[2026-05-17 20:04:43,878 | DEBUG]: Verifying radius 24...
[2026-05-17 20:04:44,019 | INFO]: Reducing radius to 23
[2026-05-17 20:04:44,019 | DEBUG]: Verifying radius 23...
[2026-05-17 20:04:44,159 | INFO]: Reducing radius to 22
[2026-05-17 20:04:44,159 | DEBUG]: Verifying radius 22...
[2026-05-17 20:04:44,382 | INFO]: Verified radius 22. Collecting block data...
[2026-05-17 20:04:44,607 | INFO]: Scan successfully completed at radius: 22
[2026-05-17 20:04:44,608 | INFO]: Finished scanning...
[2026-05-17 20:04:44,608 | INFO]: Starting filter...
[2026-05-17 20:04:44,614 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,623 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,629 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,636 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,642 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,655 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,648 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,660 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,663 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,670 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,676 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,683 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,691 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,697 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,705 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,708 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,713 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,717 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,724 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,730 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,736 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,739 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,742 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,746 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,753 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,760 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,763 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,772 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,775 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,778 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,786 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,789 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,797 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,804 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,809 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,816 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:04:44,817 | INFO]: Filter successfully return filtered detected blocks
[2026-05-17 20:04:44,818 | INFO]: Finished filtering...
[2026-05-17 20:04:44,818 | INFO]: Converting detected blocks into json...
[2026-05-17 20:04:44,818 | DEBUG]: Successfully converted into json file
[2026-05-17 20:04:44,818 | INFO]: Converter successfully stored detections in detection20260517200444.json
[2026-05-17 20:04:44,819 | DEBUG]: Deleting: detection20260517195609.json
[2026-05-17 20:04:44,819 | INFO]: Converted to json file (detections)...
[2026-05-17 20:04:44,821 | INFO]: Finished C++ analysis, clustering and converting to json file (findings)...
